,work,composer,date
0,Norma,Vincenzo Bellini,1972-09-28
1,Norma,Vincenzo Bellini,1972-10-01
2,Norma,Vincenzo Bellini,1972-10-04
3,Norma,Vincenzo Bellini,1972-10-07
4,Norma,Vincenzo Bellini,1972-10-12
5,Norma,Vincenzo Bellini,1972-10-15
6,Norma,Vincenzo Bellini,1972-10-18
7,Norma,Vincenzo Bellini,1972-10-21
8,Norma,Vincenzo Bellini,1972-10-26
9,Norma,Vincenzo Bellini,1972-10-28
10,Femme sans ombre (La),Richard Strauss,1972-10-11
11,Femme sans ombre (La),Richard Strauss,1972-10-14
12,Femme sans ombre (La),Richard Strauss,1972-10-19
13,Femme sans ombre (La),Richard Strauss,1972-10-22
14,Femme sans ombre (La),Richard Strauss,1972-10-25
15,Femme sans ombre (La),Richard Strauss,1972-10-29
16,Femme sans ombre (La),Richard Strauss,1972-11-01
17,Femme sans ombre (La),Richard Strauss,1972-11-04
18,Femme sans ombre (La),Richard Strauss,1972-11-08
19,Femme sans ombre (La),Richard Strauss,1972-11-11
20,Dialogues des carmélites,Francis Poulenc,1972-11-22
21,Dialogues des carmélites,Francis Poulenc,1972-11-23
22,Dialogues des carmélites,Francis Poulenc,1972-11-24
23,Dialogues des carmélites,Francis Poulenc,1972-11-25
24,Dialogues des carmélites,Francis Poulenc,1972-11-26
25,Dialogues des carmélites,Francis Poulenc,1972-11-29
26,Dialogues des carmélites,Francis Poulenc,1972-12-01
27,Dialogues des carmélites,Francis Poulenc,1972-12-03
28,Dialogues des carmélites,Francis Poulenc,1972-12-07
29,Dialogues des carmélites,Francis Poulenc,1972-12-09
30,Tosca,Giacomo Puccini,1972-11-30
31,Tosca,Giacomo Puccini,1972-12-02
32,Tosca,Giacomo Puccini,1972-12-06
33,Tosca,Giacomo Puccini,1972-12-08
34,Tosca,Giacomo Puccini,1972-12-10
35,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-03-30
36,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-04-02
37,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-04-07
38,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-04-13
39,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-05-11
40,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-05-14
41,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-05-16
42,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-05-19
43,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-05-31
44,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-06-02
45,Orphée et Eurydice,Christoph Willibald Gluck,1973-04-04
46,Orphée et Eurydice,Christoph Willibald Gluck,1973-04-08
47,Orphée et Eurydice,Christoph Willibald Gluck,1973-04-11
48,Orphée et Eurydice,Christoph Willibald Gluck,1973-04-14
49,Orphée et Eurydice,Christoph Willibald Gluck,1973-04-22
50,Orphée et Eurydice,Christoph Willibald Gluck,1973-04-26
51,Parsifal,Richard Wagner,1973-04-20
52,Parsifal,Richard Wagner,1973-04-23
53,Parsifal,Richard Wagner,1973-04-29
54,Trouvère (Le),Giuseppe Verdi,1973-05-02
55,Trouvère (Le),Giuseppe Verdi,1973-05-05
56,Trouvère (Le),Giuseppe Verdi,1973-05-07
57,Trouvère (Le),Giuseppe Verdi,1973-05-10
58,Trouvère (Le),Giuseppe Verdi,1973-05-13
59,Trouvère (Le),Giuseppe Verdi,1973-05-20
60,Trouvère (Le),Giuseppe Verdi,1973-05-23
61,Trouvère (Le),Giuseppe Verdi,1973-05-26
62,Trouvère (Le),Giuseppe Verdi,1973-05-30
63,Trouvère (Le),Giuseppe Verdi,1973-06-03
64,Trouvère (Le),Giuseppe Verdi,1973-06-07
65,Trouvère (Le),Giuseppe Verdi,1973-06-13
66,Trouvère (Le),Giuseppe Verdi,1973-06-18
67,Trouvère (Le),Giuseppe Verdi,1973-06-22
68,Trouvère (Le),Giuseppe Verdi,1973-06-27
69,Trouvère (Le),Giuseppe Verdi,1973-06-30
70,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-09-12
71,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-09-15
72,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-09-18
73,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-09-21
74,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-09-26
75,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1973-09-28
76,Moïse et Aaron,Arnold Schoenberg,1973-09-27
77,Moïse et Aaron,Arnold Schoenberg,1973-10-01
78,Moïse et Aaron,Arnold Schoenberg,1973-10-03
79,Moïse et Aaron,Arnold Schoenberg,1973-10-06
80,Moïse et Aaron,Arnold Schoenberg,1974-01-23
81,Moïse et Aaron,Arnold Schoenberg,1974-01-26
82,Moïse et Aaron,Arnold Schoenberg,1974-01-31
83,Orphée et Eurydice,Christoph Willibald Gluck,1973-10-13
84,Orphée et Eurydice,Christoph Willibald Gluck,1973-10-17
85,Orphée et Eurydice,Christoph Willibald Gluck,1973-10-19
86,Orphée et Eurydice,Christoph Willibald Gluck,1973-10-23
87,Orphée et Eurydice,Christoph Willibald Gluck,1973-10-26
88,Trouvère (Le),Giuseppe Verdi,1973-10-20
89,Trouvère (Le),Giuseppe Verdi,1973-10-24
90,Trouvère (Le),Giuseppe Verdi,1973-10-27
91,Trouvère (Le),Giuseppe Verdi,1973-11-13
92,Trouvère (Le),Giuseppe Verdi,1973-11-16
93,Trouvère (Le),Giuseppe Verdi,1973-12-05
94,Trouvère (Le),Giuseppe Verdi,1973-12-08
95,Trouvère (Le),Giuseppe Verdi,1973-12-11
96,Trouvère (Le),Giuseppe Verdi,1973-12-14
97,Trouvère (Le),Giuseppe Verdi,1974-01-30
98,Trouvère (Le),Giuseppe Verdi,1974-02-02
99,Trouvère (Le),Giuseppe Verdi,1974-02-13
100,Trouvère (Le),Giuseppe Verdi,1974-02-16
101,Parsifal,Richard Wagner,1973-11-01
102,Parsifal,Richard Wagner,1973-11-04
103,Parsifal,Richard Wagner,1973-11-07
104,Parsifal,Richard Wagner,1973-11-10
105,Parsifal,Richard Wagner,1973-11-15
106,Parsifal,Richard Wagner,1973-11-20
107,Parsifal,Richard Wagner,1974-04-12
108,Parsifal,Richard Wagner,1974-04-15
109,Parsifal,Richard Wagner,1974-04-20
110,Parsifal,Richard Wagner,1974-04-24
111,Bohème (La),Giacomo Puccini,1973-11-23
112,Bohème (La),Giacomo Puccini,1973-11-27
113,Bohème (La),Giacomo Puccini,1973-12-01
114,Bohème (La),Giacomo Puccini,1973-12-04
115,Bohème (La),Giacomo Puccini,1973-12-07
116,Bohème (La),Giacomo Puccini,1973-12-13
117,Bohème (La),Giacomo Puccini,1973-12-19
118,Bohème (La),Giacomo Puccini,1973-12-22
119,Bohème (La),Giacomo Puccini,1973-12-24
120,Bohème (La),Giacomo Puccini,1973-12-27
121,Bohème (La),Giacomo Puccini,1973-12-29
122,Bohème (La),Giacomo Puccini,1974-01-02
123,Bohème (La),Giacomo Puccini,1974-01-05
124,Bohème (La),Giacomo Puccini,1974-01-10
125,Bohème (La),Giacomo Puccini,1974-01-15
126,Bohème (La),Giacomo Puccini,1974-01-17
127,Don Quichotte,Jules Massenet,1974-01-16
128,Don Quichotte,Jules Massenet,1974-01-19
129,Don Quichotte,Jules Massenet,1974-01-24
130,Don Quichotte,Jules Massenet,1974-01-29
131,Don Quichotte,Jules Massenet,1974-02-01
132,Don Quichotte,Jules Massenet,1974-02-06
133,Don Quichotte,Jules Massenet,1974-02-09
134,Don Quichotte,Jules Massenet,1974-06-06
135,Don Quichotte,Jules Massenet,1974-06-11
136,Don Quichotte,Jules Massenet,1974-06-13
137,Don Quichotte,Jules Massenet,1974-06-17
138,Don Quichotte,Jules Massenet,1974-06-21
139,Tosca,Giacomo Puccini,1974-02-20
140,Tosca,Giacomo Puccini,1974-02-23
141,Tosca,Giacomo Puccini,1974-02-26
142,Tosca,Giacomo Puccini,1974-03-01
143,Tosca,Giacomo Puccini,1974-03-06
144,Tosca,Giacomo Puccini,1974-03-09
145,Tosca,Giacomo Puccini,1974-03-12
146,Tosca,Giacomo Puccini,1974-03-15
147,Vêpres siciliennes (Les),Giuseppe Verdi,1974-04-09
148,Vêpres siciliennes (Les),Giuseppe Verdi,1974-04-13
149,Vêpres siciliennes (Les),Giuseppe Verdi,1974-04-18
150,Vêpres siciliennes (Les),Giuseppe Verdi,1974-04-23
151,Vêpres siciliennes (Les),Giuseppe Verdi,1974-04-26
152,Vêpres siciliennes (Les),Giuseppe Verdi,1974-04-29
153,Vêpres siciliennes (Les),Giuseppe Verdi,1974-05-02
154,Vêpres siciliennes (Les),Giuseppe Verdi,1974-05-08
155,Vêpres siciliennes (Les),Giuseppe Verdi,1974-05-11
156,Vêpres siciliennes (Les),Giuseppe Verdi,1974-05-16
157,Vêpres siciliennes (Les),Giuseppe Verdi,1974-05-23
158,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-05-17
159,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-05-20
160,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-05-22
161,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-05-25
162,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-05-28
163,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-05-31
164,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-06-08
165,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-06-14
166,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-06-20
167,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-06-22
168,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-06-25
169,Cosi fan tutte,Wolfgang Amadeus Mozart,1974-06-29
170,Elektra,Richard Strauss,1974-05-30
171,Elektra,Richard Strauss,1974-06-03
172,Elektra,Richard Strauss,1974-06-07
173,Elektra,Richard Strauss,1974-06-12
174,Manon,Jules Massenet,1974-07-02
175,Manon,Jules Massenet,1974-07-03
176,Manon,Jules Massenet,1974-07-05
177,Manon,Jules Massenet,1974-07-06
178,Manon,Jules Massenet,1974-07-08
179,Manon,Jules Massenet,1974-07-09
180,Manon,Jules Massenet,1974-07-11
181,Manon,Jules Massenet,1974-07-13
182,Manon,Jules Massenet,1974-07-14
183,Manon,Jules Massenet,1974-07-16
184,Bohème (La),Giacomo Puccini,1974-09-25
185,Bohème (La),Giacomo Puccini,1974-09-27
186,Bohème (La),Giacomo Puccini,1974-10-01
187,Bohème (La),Giacomo Puccini,1974-10-04
188,Bohème (La),Giacomo Puccini,1974-10-08
189,Bohème (La),Giacomo Puccini,1974-10-12
190,Bohème (La),Giacomo Puccini,1974-10-15
191,Bohème (La),Giacomo Puccini,1974-10-18
192,Bohème (La),Giacomo Puccini,1974-12-05
193,Bohème (La),Giacomo Puccini,1974-12-09
194,Bohème (La),Giacomo Puccini,1974-12-12
195,Bohème (La),Giacomo Puccini,1974-12-16
196,Bohème (La),Giacomo Puccini,1974-12-18
197,Bohème (La),Giacomo Puccini,1974-12-21
198,Bohème (La),Giacomo Puccini,1975-01-04
199,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1974-09-28
200,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1974-10-02
201,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1974-10-05
202,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1974-10-09
203,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1974-12-02
204,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1974-12-04
205,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1974-12-06
206,Contes d'Hoffmann (Les),Jacques Offenbach,1974-10-28
207,Contes d'Hoffmann (Les),Jacques Offenbach,1974-10-31
208,Contes d'Hoffmann (Les),Jacques Offenbach,1974-11-04
209,Contes d'Hoffmann (Les),Jacques Offenbach,1974-11-07
210,Contes d'Hoffmann (Les),Jacques Offenbach,1974-11-12
211,Contes d'Hoffmann (Les),Jacques Offenbach,1974-11-14
212,Contes d'Hoffmann (Les),Jacques Offenbach,1975-01-11
213,Contes d'Hoffmann (Les),Jacques Offenbach,1975-01-14
214,Contes d'Hoffmann (Les),Jacques Offenbach,1975-01-17
215,Contes d'Hoffmann (Les),Jacques Offenbach,1975-01-22
216,Contes d'Hoffmann (Les),Jacques Offenbach,1975-01-25
217,Contes d'Hoffmann (Les),Jacques Offenbach,1975-01-28
218,Parsifal,Richard Wagner,1974-11-01
219,Parsifal,Richard Wagner,1974-11-06
220,Parsifal,Richard Wagner,1974-11-09
221,Vêpres siciliennes (Les),Giuseppe Verdi,1974-11-18
222,Vêpres siciliennes (Les),Giuseppe Verdi,1974-11-21
223,Vêpres siciliennes (Les),Giuseppe Verdi,1974-11-25
224,Vêpres siciliennes (Les),Giuseppe Verdi,1974-11-28
225,Vêpres siciliennes (Les),Giuseppe Verdi,1974-12-11
226,Vêpres siciliennes (Les),Giuseppe Verdi,1974-12-14
227,Vêpres siciliennes (Les),Giuseppe Verdi,1974-12-19
228,Vêpres siciliennes (Les),Giuseppe Verdi,1974-12-23
229,Vêpres siciliennes (Les),Giuseppe Verdi,1974-12-27
230,Vêpres siciliennes (Les),Giuseppe Verdi,1975-01-02
231,Orphée et Eurydice,Christoph Willibald Gluck,1974-11-27
232,Orphée et Eurydice,Christoph Willibald Gluck,1974-11-30
233,Orphée et Eurydice,Christoph Willibald Gluck,1974-12-03
234,Orphée et Eurydice,Christoph Willibald Gluck,1974-12-07
235,Orphée et Eurydice,Christoph Willibald Gluck,1974-12-10
236,Orphée et Eurydice,Christoph Willibald Gluck,1974-12-13
237,Manon,Jules Massenet,1975-01-15
238,Manon,Jules Massenet,1975-01-20
239,Manon,Jules Massenet,1975-01-23
240,Manon,Jules Massenet,1975-01-27
241,Manon,Jules Massenet,1975-01-31
242,Manon,Jules Massenet,1975-02-04
243,Trouvère (Le),Giuseppe Verdi,1975-02-05
244,Trouvère (Le),Giuseppe Verdi,1975-02-08
245,Trouvère (Le),Giuseppe Verdi,1975-02-12
246,Trouvère (Le),Giuseppe Verdi,1975-02-15
247,Trouvère (Le),Giuseppe Verdi,1975-02-18
248,Trouvère (Le),Giuseppe Verdi,1975-04-05
249,Trouvère (Le),Giuseppe Verdi,1975-04-12
250,Trouvère (Le),Giuseppe Verdi,1975-04-19
251,Don Carlo,Giuseppe Verdi,1975-02-13
252,Don Carlo,Giuseppe Verdi,1975-02-17
253,Don Carlo,Giuseppe Verdi,1975-02-22
254,Don Carlo,Giuseppe Verdi,1975-02-25
255,Don Carlo,Giuseppe Verdi,1975-03-01
256,Don Carlo,Giuseppe Verdi,1975-03-06
257,Don Carlo,Giuseppe Verdi,1975-03-11
258,Don Giovanni,Wolfgang Amadeus Mozart,1975-03-07
259,Don Giovanni,Wolfgang Amadeus Mozart,1975-03-10
260,Don Giovanni,Wolfgang Amadeus Mozart,1975-03-12
261,Don Giovanni,Wolfgang Amadeus Mozart,1975-03-15
262,Don Giovanni,Wolfgang Amadeus Mozart,1975-03-19
263,Don Giovanni,Wolfgang Amadeus Mozart,1975-03-21
264,Don Giovanni,Wolfgang Amadeus Mozart,1975-03-24
265,Don Giovanni,Wolfgang Amadeus Mozart,1975-03-29
266,Don Giovanni,Wolfgang Amadeus Mozart,1975-07-09
267,Don Giovanni,Wolfgang Amadeus Mozart,1975-07-13
268,Don Giovanni,Wolfgang Amadeus Mozart,1975-07-15
269,Moïse et Aaron,Arnold Schoenberg,1975-03-27
270,Moïse et Aaron,Arnold Schoenberg,1975-03-30
271,Moïse et Aaron,Arnold Schoenberg,1975-04-02
272,Moïse et Aaron,Arnold Schoenberg,1975-04-04
273,Elektra,Richard Strauss,1975-04-11
274,Elektra,Richard Strauss,1975-04-16
275,Elektra,Richard Strauss,1975-04-21
276,Elektra,Richard Strauss,1975-04-25
277,Force du destin (La),Giuseppe Verdi,1975-05-02
278,Force du destin (La),Giuseppe Verdi,1975-05-07
279,Force du destin (La),Giuseppe Verdi,1975-05-10
280,Force du destin (La),Giuseppe Verdi,1975-05-13
281,Force du destin (La),Giuseppe Verdi,1975-05-16
282,Force du destin (La),Giuseppe Verdi,1975-05-19
283,Force du destin (La),Giuseppe Verdi,1975-05-24
284,Force du destin (La),Giuseppe Verdi,1975-05-27
285,Force du destin (La),Giuseppe Verdi,1975-05-30
286,Force du destin (La),Giuseppe Verdi,1975-06-04
287,Force du destin (La),Giuseppe Verdi,1975-06-07
288,Faust,Charles François Gounod,1975-06-03
289,Faust,Charles François Gounod,1975-06-06
290,Faust,Charles François Gounod,1975-06-09
291,Faust,Charles François Gounod,1975-06-11
292,Faust,Charles François Gounod,1975-06-14
293,Faust,Charles François Gounod,1975-06-17
294,Cosi fan tutte,Wolfgang Amadeus Mozart,1975-06-18
295,Cosi fan tutte,Wolfgang Amadeus Mozart,1975-06-21
296,Cosi fan tutte,Wolfgang Amadeus Mozart,1975-06-23
297,Cosi fan tutte,Wolfgang Amadeus Mozart,1975-06-26
298,Cosi fan tutte,Wolfgang Amadeus Mozart,1975-06-28
299,Cosi fan tutte,Wolfgang Amadeus Mozart,1975-07-03
300,Ariane et Barbe-Bleue,Paul Dukas,1975-07-05
301,Ariane et Barbe-Bleue,Paul Dukas,1975-07-09
302,Ariane et Barbe-Bleue,Paul Dukas,1975-07-12
303,Ariane et Barbe-Bleue,Paul Dukas,1975-07-17
304,Ariane et Barbe-Bleue,Paul Dukas,1975-07-21
305,Ariane et Barbe-Bleue,Paul Dukas,1975-07-25
306,Don Giovanni,Wolfgang Amadeus Mozart,1975-09-24
307,Don Giovanni,Wolfgang Amadeus Mozart,1975-09-27
308,Don Giovanni,Wolfgang Amadeus Mozart,1975-09-30
309,Don Giovanni,Wolfgang Amadeus Mozart,1975-10-04
310,Don Giovanni,Wolfgang Amadeus Mozart,1975-11-28
311,Don Giovanni,Wolfgang Amadeus Mozart,1975-12-01
312,Don Giovanni,Wolfgang Amadeus Mozart,1975-12-03
313,Don Giovanni,Wolfgang Amadeus Mozart,1975-12-06
314,Elektra,Richard Strauss,1975-10-02
315,Elektra,Richard Strauss,1975-10-06
316,Elektra,Richard Strauss,1975-10-10
317,Elektra,Richard Strauss,1975-10-14
318,Elektra,Richard Strauss,1975-10-18
319,Elektra,Richard Strauss,1975-10-23
320,Samson et Dalila,Camille Saint-Saëns,1975-10-22
321,Samson et Dalila,Camille Saint-Saëns,1975-10-25
322,Samson et Dalila,Camille Saint-Saëns,1975-10-27
323,Samson et Dalila,Camille Saint-Saëns,1975-10-31
324,Samson et Dalila,Camille Saint-Saëns,1975-11-03
325,Samson et Dalila,Camille Saint-Saëns,1975-11-06
326,Samson et Dalila,Camille Saint-Saëns,1975-11-12
327,Samson et Dalila,Camille Saint-Saëns,1975-11-15
328,Samson et Dalila,Camille Saint-Saëns,1975-11-18
329,Samson et Dalila,Camille Saint-Saëns,1975-11-21
330,Samson et Dalila,Camille Saint-Saëns,1975-11-24
331,Parsifal,Richard Wagner,1975-11-01
332,Parsifal,Richard Wagner,1975-11-05
333,Parsifal,Richard Wagner,1975-11-08
334,Parsifal,Richard Wagner,1975-11-13
335,Parsifal,Richard Wagner,1976-05-14
336,Parsifal,Richard Wagner,1976-05-18
337,Parsifal,Richard Wagner,1976-05-22
338,Parsifal,Richard Wagner,1976-05-27
339,Contes d'Hoffmann (Les),Jacques Offenbach,1975-11-22
340,Contes d'Hoffmann (Les),Jacques Offenbach,1975-11-25
341,Contes d'Hoffmann (Les),Jacques Offenbach,1975-11-29
342,Contes d'Hoffmann (Les),Jacques Offenbach,1975-12-02
343,Contes d'Hoffmann (Les),Jacques Offenbach,1975-12-05
344,Contes d'Hoffmann (Les),Jacques Offenbach,1975-12-09
345,Vêpres siciliennes (Les),Giuseppe Verdi,1975-12-20
346,Vêpres siciliennes (Les),Giuseppe Verdi,1975-12-23
347,Vêpres siciliennes (Les),Giuseppe Verdi,1976-01-10
348,Vêpres siciliennes (Les),Giuseppe Verdi,1976-01-13
349,Vêpres siciliennes (Les),Giuseppe Verdi,1976-01-17
350,Vêpres siciliennes (Les),Giuseppe Verdi,1976-01-22
351,Vêpres siciliennes (Les),Giuseppe Verdi,1976-01-26
352,Vêpres siciliennes (Les),Giuseppe Verdi,1976-01-29
353,Chevalier à la rose (Le),Richard Strauss,1976-01-23
354,Chevalier à la rose (Le),Richard Strauss,1976-01-27
355,Chevalier à la rose (Le),Richard Strauss,1976-01-31
356,Chevalier à la rose (Le),Richard Strauss,1976-02-03
357,Chevalier à la rose (Le),Richard Strauss,1976-02-07
358,Chevalier à la rose (Le),Richard Strauss,1976-02-12
359,Chevalier à la rose (Le),Richard Strauss,1976-02-16
360,Force du destin (La),Giuseppe Verdi,1976-02-11
361,Force du destin (La),Giuseppe Verdi,1976-02-14
362,Force du destin (La),Giuseppe Verdi,1976-02-17
363,Force du destin (La),Giuseppe Verdi,1976-02-21
364,Force du destin (La),Giuseppe Verdi,1976-02-24
365,Force du destin (La),Giuseppe Verdi,1976-02-27
366,Force du destin (La),Giuseppe Verdi,1976-03-02
367,Force du destin (La),Giuseppe Verdi,1976-03-05
368,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-02-23
369,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-02-26
370,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-03-06
371,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-03-08
372,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-03-10
373,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-03-12
374,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-07-22
375,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-07-24
376,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-07-27
377,Noces de Figaro (Les),Wolfgang Amadeus Mozart,1976-07-30
378,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-03-23
379,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-03-26
380,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-03-31
381,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-04-03
382,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-04-09
383,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-06-30
384,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-07-02
385,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-07-28
386,Enlèvement au sérail (L'),Wolfgang Amadeus Mozart,1976-07-31
387,Faust,Charles François Gounod,1976-03-27
388,Faust,Charles François Gounod,1976-03-30
389,Faust,Charles François Gounod,1976-04-02
390,Faust,Charles François Gounod,1976-04-10
391,Faust,Charles François Gounod,1976-04-13
392,Faust,Charles François Gounod,1976-04-16
393,Faust,Charles François Gounod,1976-04-19
394,Faust,Charles François Gounod,1976-04-24
395,Faust,Charles François Gounod,1976-04-28
396,Faust,Charles François Gounod,1976-04-30
397,Ariane et Barbe-Bleue,Paul Dukas,1976-04-17
398,Ariane et Barbe-Bleue,Paul Dukas,1976-04-20
399,Ariane et Barbe-Bleue,Paul Dukas,1976-04-23
400,Ariane et Barbe-Bleue,Paul Dukas,1976-04-29
401,Ariane et Barbe-Bleue,Paul Dukas,1976-05-05
402,Ariane et Barbe-Bleue,Paul Dukas,1976-05-08
403,Ariane et Barbe-Bleue,Paul Dukas,1976-05-11
404,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-05-28
405,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-05-31
406,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-06-02
407,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-06-05
408,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-06-07
409,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-06-12
410,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-06-15
411,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-06-17
412,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-07-07
413,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-07-15
414,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-07-23
415,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-07-26
416,Cosi fan tutte,Wolfgang Amadeus Mozart,1976-07-29
417,Otello,Giuseppe Verdi,1976-06-25
418,Otello,Giuseppe Verdi,1976-06-29
419,Otello,Giuseppe Verdi,1976-07-03
420,Otello,Giuseppe Verdi,1976-07-08
421,Otello,Giuseppe Verdi,1976-07-12
422,Otello,Giuseppe Verdi,1976-07-17
423,Samson et Dalila,Camille Saint-Saëns,1976-10-22
424,Samson et Dalila,Camille Saint-Saëns,1976-10-25
425,Samson et Dalila,Camille Saint-Saëns,1976-10-28
426,Samson et Dalila,Camille Saint-Saëns,1976-11-01
427,Samson et Dalila,Camille Saint-Saëns,1976-11-04
428,Elektra,Richard Strauss,1976-11-05
429,Elektra,Richard Strauss,1976-11-09
430,Elektra,Richard Strauss,1976-11-13
431,Elektra,Richard Strauss,1976-11-18
432,Elektra,Richard Strauss,1976-11-22
433,Trouvère (Le),Giuseppe Verdi,1976-11-12
434,Trouvère (Le),Giuseppe Verdi,1976-11-17
435,Trouvère (Le),Giuseppe Verdi,1976-11-20
436,Trouvère (Le),Giuseppe Verdi,1976-11-23
437,Trouvère (Le),Giuseppe Verdi,1976-11-27
438,Trouvère (Le),Giuseppe Verdi,1976-12-01
439,Or du Rhin (L'),Richard Wagner,1976-12-06
440,Or du Rhin (L'),Richard Wagner,1976-12-08
441,Or du Rhin (L'),Richard Wagner,1977-01-12
442,Or du Rhin (L'),Richard Wagner,1977-01-14
443,Or du Rhin (L'),Richard Wagner,1977-02-23
444,Or du Rhin (L'),Richard Wagner,1977-02-26
445,Or du Rhin (L'),Richard Wagner,1977-05-18
446,Or du Rhin (L'),Richard Wagner,1977-05-21
447,Walkyrie (La),Richard Wagner,1976-12-18
448,Walkyrie (La),Richard Wagner,1976-12-21
449,Walkyrie (La),Richard Wagner,1977-01-19
450,Walkyrie (La),Richard Wagner,1977-01-22
451,Walkyrie (La),Richard Wagner,1977-01-25
452,Walkyrie (La),Richard Wagner,1977-03-30
453,Walkyrie (La),Richard Wagner,1977-04-02
454,Walkyrie (La),Richard Wagner,1977-05-26
455,Walkyrie (La),Richard Wagner,1977-05-28
456,Bohème (La),Giacomo Puccini,1977-01-15
457,Bohème (La),Giacomo Puccini,1977-01-18
458,Bohème (La),Giacomo Puccini,1977-01-21
459,Bohème (La),Giacomo Puccini,1977-01-24
460,Bohème (La),Giacomo Puccini,1977-01-28
461,Force du destin (La),Giuseppe Verdi,1977-02-02
462,Force du destin (La),Giuseppe Verdi,1977-02-05
463,Force du destin (La),Giuseppe Verdi,1977-02-08
464,Force du destin (La),Giuseppe Verdi,1977-02-11
465,Force du destin (La),Giuseppe Verdi,1977-02-16
466,Force du destin (La),Giuseppe Verdi,1977-02-19
467,Force du destin (La),Giuseppe Verdi,1977-02-22
468,Force du destin (La),Giuseppe Verdi,1977-02-25
469,Don Giovanni,Wolfgang Amadeus Mozart,1977-02-09
470,Don Giovanni,Wolfgang Amadeus Mozart,1977-02-12
471,Don Giovanni,Wolfgang Amadeus Mozart,1977-02-15
472,Don Giovanni,Wolfgang Amadeus Mozart,1977-02-28
473,Don Giovanni,Wolfgang Amadeus Mozart,1977-03-04
474,Don Giovanni,Wolfgang Amadeus Mozart,1977-03-08
475,Don Giovanni,Wolfgang Amadeus Mozart,1977-03-12
476,Don Giovanni,Wolfgang Amadeus Mozart,1977-03-17
477,Don Giovanni,Wolfgang Amadeus Mozart,1977-03-21
